team_name,player_name,player_batLR,opponents,pitcherLR,pitchername,runners,strikes,pitch_course,pitch_type,pitch_height,hit_type,x_coord,y_coord
関西大学.csv,中村莞爾,左,京大,右,なし,なし,2,内,ストレート,低め,ライナー,96,608
関西大学.csv,中村莞爾,左,京大,右,なし,なし,2,内,スライダー,真中,ライナー,574,346
京都大学.csv,渡辺祥大,右,京大以外,左,なし,なし,0,外,フォーク,低め,フライ,413,241
関西大学.csv,山本峻輔,左,京大,右,なし,得点圏,0,内,ストレート,低め,ライナー,695,437
関西大学.csv,山本峻輔,左,京大,右,なし,得点圏,1,真中,スライダー,低め,ライナー,270,146
京都大学.csv,坂井康希,右,京大以外,左,なし,なし,1,外,フォーク,低め,ゴロ,255,662
京都大学.csv,坂井康希,右,京大以外,左,なし,なし,2,外,フォーク,低め,ゴロ,316,708
京都大学.csv,坂井康希,右,京大以外,左,なし,なし,2,外,ストレート,真中,フライ,349,334
京都大学.csv,田澤叶羽,左,京大以外,左,なし,なし,0,内,フォーク,高め,フライ,25,390
関西大学.csv,中村莞爾,左,京大,右,渚,なし,1,内,チェンジアップ,低め,ゴロ,529,380
関西大学.csv,山本峻輔,左,京大,右,渚,なし,2,内,ストレート,高め,フライ,213,344
京都大学.csv,渡辺祥大,右,京大以外,左,なし,なし,1,真中,ストレート,真中,ゴロ,289,366
関西大学.csv,宮本青空,左,京大,右,渚,1塁,1,内,カットボール,高め,ゴロ,217,604
関西大学.csv,宮本青空,左,京大,右,渚,1塁,2,真中,ストレート,低め,ライナー,37,475
関西大学.csv,宮本青空,左,京大,右,渚,1塁,2,内,スライダー,低め,ゴロ,550,593
関西大学.csv,宮本青空,左,京大,右,渚,1塁,2,外,ストレート,真中,ライナー,370,654
京都大学.csv,松本径一郎,右,京大以外,左,なし,なし,1,外,ストレート,真中,ライナー,221,267
京都大学.csv,田澤叶羽,左,京大以外,左,なし,1塁,0,真中,ストレート,高め,ライナー,117,610
京都大学.csv,田澤叶羽,左,京大以外,左,なし,1塁,1,内,ストレート,真中,ゴロ,398,372
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,なし,0,内,スライダー,真中,フライ,128,637
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,なし,1,内,スライダー,真中,ライナー,238,633
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,なし,2,真中,スライダー,真中,ゴロ,480,585
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,なし,2,内,スライダー,低め,ゴロ,523,425
立命館大学.csv,三木勇人,右,京大以外,左,なし,なし,2,真中,スライダー,低め,ゴロ,278,676
立命館大学.csv,福井一颯,右,京大以外,左,なし,1塁,0,外,ストレート,真中,ゴロ,212,299
立命館大学.csv,西野啓也,右,京大以外,左,なし,得点圏,1,内,ストレート,真中,ゴロ,114,498
関西学院大学.csv,西垣琉空,右,京大以外,左,なし,なし,0,真中,ストレート,真中,フライ,532,728
関西学院大学.csv,真鍋太一,左,京大以外,左,なし,なし,1,内,ストレート,高め,ゴロ,245,442
立命館大学.csv,坂下晴翔,左,京大以外,左,なし,なし,0,真中,スライダー,真中,フライ,164,206
立命館大学.csv,川端一正,左,京大以外,左,なし,なし,1,内,スライダー,低め,ゴロ,340,239
立命館大学.csv,岩間倫太朗,左,京大以外,左,なし,1塁,1,内,スライダー,低め,ライナー,284,696
立命館大学.csv,岩間倫太朗,左,京大以外,左,なし,1塁,2,外,ストレート,高め,ゴロ,463,348
立命館大学.csv,星野大和,右,京大以外,左,なし,得点圏,2,真中,スライダー,真中,ゴロ,261,449
関西学院大学.csv,渡部遥斗,左,京大以外,左,なし,なし,0,真中,ストレート,低め,ライナー,477,235
関西学院大学.csv,深田元貴,左,京大以外,左,なし,1塁,1,真中,ストレート,真中,フライ,117,296
関西学院大学.csv,中川将心,右,京大以外,左,なし,1塁,0,真中,ストレート,真中,フライ,308,114
関西学院大学.csv,福谷宇楽,右,京大以外,左,なし,得点圏,0,外,ストレート,低め,ゴロ,190,302
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,1,内,ストレート,高め,フライ,374,716
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,2,外,スライダー,低め,ゴロ,268,703
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,2,内,ストレート,低め,ライナー,606,367
関西学院大学.csv,西垣琉空,右,京大以外,右,なし,得点圏,2,内,ストレート,真中,ゴロ,217,656
関西学院大学.csv,西垣琉空,右,京大以外,右,なし,得点圏,2,内,チェンジアップ,高め,ゴロ,358,630
関西学院大学.csv,西垣琉空,右,京大以外,右,なし,得点圏,2,真中,ストレート,低め,ゴロ,242,421
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,なし,2,外,スライダー,低め,フライ,115,613
立命館大学.csv,福井一颯,右,京大以外,左,なし,得点圏,0,真中,ストレート,高め,フライ,382,600
立命館大学.csv,西野啓也,右,京大以外,左,なし,得点圏,2,外,ストレート,低め,ゴロ,282,468
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,2,外,チェンジアップ,低め,フライ,84,573
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,2,外,ストレート,高め,フライ,118,608
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,2,内,スライダー,低め,ゴロ,466,354
立命館大学.csv,川端一正,左,京大以外,右,なし,なし,1,内,ストレート,低め,フライ,498,180
立命館大学.csv,岩間倫太朗,左,京大以外,右,なし,なし,2,真中,チェンジアップ,低め,ゴロ,614,467
立命館大学.csv,岩間倫太朗,左,京大以外,右,なし,なし,2,真中,ストレート,低め,ライナー,401,143
関西学院大学.csv,渡部遥斗,左,京大以外,左,なし,なし,0,内,ストレート,高め,ゴロ,484,358
関西学院大学.csv,深田元貴,左,京大以外,左,なし,なし,1,真中,ストレート,高め,ゴロ,418,346
関西学院大学.csv,中川将心,右,京大以外,左,なし,なし,0,外,ストレート,低め,フライ,397,122
立命館大学.csv,星野大和,右,京大以外,右,なし,なし,1,外,スライダー,真中,ライナー,658,557
立命館大学.csv,星野大和,右,京大以外,右,なし,なし,2,外,ストレート,真中,ライナー,702,541
立命館大学.csv,角井翔一郎,左,京大以外,右,なし,1塁,2,外,チェンジアップ,高め,ゴロ,343,390
立命館大学.csv,神谷倖士朗,右,京大以外,右,なし,得点圏,0,真中,ストレート,真中,フライ,237,268
立命館大学.csv,福井一颯,右,京大以外,右,なし,得点圏,0,外,スライダー,低め,ゴロ,370,691
立命館大学.csv,福井一颯,右,京大以外,右,なし,得点圏,2,真中,スライダー,真中,ゴロ,172,582
立命館大学.csv,西野啓也,右,京大以外,右,なし,得点圏,2,外,スライダー,真中,フライ,615,638
立命館大学.csv,西野啓也,右,京大以外,右,なし,得点圏,2,真中,ストレート,真中,フライ,500,302
関西学院大学.csv,高嶋奨哉,右,京大以外,左,なし,なし,1,真中,フォーク,低め,ゴロ,160,598
関西学院大学.csv,高嶋奨哉,右,京大以外,左,なし,なし,2,外,スライダー,低め,ゴロ,179,308
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,1,外,フォーク,低め,ゴロ,531,579
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,2,内,ストレート,高め,フライ,383,722
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,2,内,スライダー,高め,ゴロ,376,651
関西学院大学.csv,西垣琉空,右,京大以外,左,なし,得点圏,2,真中,ストレート,低め,ライナー,18,430
関西学院大学.csv,西垣琉空,右,京大以外,左,なし,得点圏,2,外,フォーク,低め,ゴロ,278,419
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,1,真中,スライダー,高め,フライ,162,660
立命館大学.csv,川端一正,左,京大以外,右,なし,1塁,1,真中,スライダー,真中,ライナー,493,267
立命館大学.csv,岩間倫太朗,左,京大以外,右,なし,得点圏,2,内,チェンジアップ,低め,ゴロ,594,550
立命館大学.csv,岩間倫太朗,左,京大以外,右,なし,得点圏,2,外,ストレート,真中,ライナー,166,300
立命館大学.csv,星野大和,右,京大以外,右,なし,得点圏,2,外,スライダー,低め,ゴロ,206,287
立命館大学.csv,角井翔一郎,左,京大以外,右,なし,得点圏,0,内,スライダー,真中,ライナー,559,342
立命館大学.csv,神谷倖士朗,右,京大以外,右,なし,得点圏,2,外,ストレート,真中,フライ,657,284
立命館大学.csv,福井一颯,右,京大以外,右,なし,得点圏,0,外,スライダー,低め,フライ,614,615
立命館大学.csv,福井一颯,右,京大以外,右,なし,得点圏,1,真中,ストレート,真中,フライ,196,168
関西学院大学.csv,真鍋太一,左,京大以外,左,なし,なし,0,真中,ストレート,低め,ゴロ,527,429
関西学院大学.csv,水本竜太,左,京大以外,左,なし,なし,0,内,スライダー,真中,ゴロ,473,347
関西学院大学.csv,渡部遥斗,左,京大以外,左,なし,なし,0,外,ストレート,真中,ゴロ,510,560
関西学院大学.csv,渡部遥斗,左,京大以外,左,なし,なし,1,真中,ストレート,真中,ゴロ,504,557
関西学院大学.csv,渡部遥斗,左,京大以外,左,なし,なし,2,真中,スライダー,真中,ゴロ,474,378
立命館大学.csv,西野啓也,右,京大以外,右,なし,なし,0,外,ストレート,真中,ゴロ,300,348
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,2,真中,チェンジアップ,低め,ゴロ,334,229
立命館大学.csv,岩間倫太朗,左,京大以外,右,なし,得点圏,2,外,スライダー,高め,ゴロ,331,332
関西学院大学.csv,中川将心,右,京大以外,左,なし,なし,0,真中,ストレート,真中,フライ,701,511
関西学院大学.csv,中川将心,右,京大以外,左,なし,なし,1,内,フォーク,低め,ライナー,195,279
関西学院大学.csv,高嶋奨哉,右,京大以外,左,なし,1塁,1,外,ストレート,真中,フライ,203,132
関西学院大学.csv,福谷宇楽,右,京大以外,左,なし,得点圏,0,外,フォーク,低め,フライ,664,293
関西学院大学.csv,宮原大和,左,京大以外,左,なし,得点圏,0,内,フォーク,真中,ライナー,473,286
関西学院大学.csv,西垣琉空,右,京大以外,左,なし,1塁,1,真中,ストレート,高め,フライ,417,730
関西学院大学.csv,西垣琉空,右,京大以外,左,なし,1塁,2,外,ストレート,高め,フライ,390,727
立命館大学.csv,星野大和,右,京大以外,右,なし,なし,0,外,ストレート,高め,フライ,709,448
立命館大学.csv,星野大和,右,京大以外,右,なし,なし,2,外,スライダー,低め,ゴロ,434,337
立命館大学.csv,角井翔一郎,左,京大以外,右,なし,なし,0,内,ストレート,真中,フライ,634,136
立命館大学.csv,神谷倖士朗,右,京大以外,右,なし,なし,1,外,スライダー,低め,ゴロ,242,418
立命館大学.csv,福井一颯,右,京大以外,右,なし,なし,1,外,スライダー,低め,ゴロ,422,526
関西学院大学.csv,真鍋太一,左,京大以外,左,なし,なし,0,内,ストレート,低め,ゴロ,477,376
関西学院大学.csv,若杉優杜,左,京大以外,左,なし,1塁,1,真中,ストレート,低め,ゴロ,546,296
関西学院大学.csv,中川将心,右,京大以外,左,なし,得点圏,0,真中,ストレート,真中,フライ,434,121
立命館大学.csv,西野啓也,右,京大以外,左,なし,なし,0,外,スライダー,低め,ゴロ,299,381
立命館大学.csv,坂下晴翔,左,京大以外,左,なし,1塁,0,内,ストレート,低め,ゴロ,394,591
立命館大学.csv,川端一正,左,京大以外,左,なし,得点圏,1,内,ストレート,真中,ライナー,678,398
立命館大学.csv,川端一正,左,京大以外,左,なし,得点圏,2,外,スライダー,低め,ゴロ,487,466
